"str_cia_CVM","dte_refer","dt_publi"
"SIDERURGICA J. L. ALIPERTI S.A.","2011-09-30","2011-11-11"
"MARISA LOJAS S.A.","2011-03-31","2011-05-03"
"MARISA LOJAS S.A.","2011-06-30","2011-08-03"
"MARISA LOJAS S.A.","2011-09-30","2011-11-03"
"BAUMER S.A.","2011-03-31","2011-05-16"
"BAUMER S.A.","2011-06-30","2011-08-15"
"BAUMER S.A.","2011-09-30","2011-11-14"
"DIAGNOSTICOS DA AMERICA S.A.","2011-03-31","2011-05-10"
"DIAGNOSTICOS DA AMERICA S.A.","2011-06-30","2011-08-15"
"DIAGNOSTICOS DA AMERICA S.A.","2011-09-30","2011-11-14"
"RAIA DROGASIL S.A.","2011-03-31","2011-05-11"
"RAIA DROGASIL S.A.","2011-06-30","2011-08-10"
"RAIA DROGASIL S.A.","2011-09-30","2011-11-09"
"BCO PINE S.A.","2011-03-31","2011-05-16"
"BCO PINE S.A.","2011-06-30","2011-08-11"
"BCO PINE S.A.","2011-09-30","2011-11-03"
"RNI NEGÓCIOS IMOBILIÁRIOS S.A.","2011-03-31","2011-05-09"
"RNI NEGÓCIOS IMOBILIÁRIOS S.A.","2011-06-30","2011-08-15"
"RNI NEGÓCIOS IMOBILIÁRIOS S.A.","2011-09-30","2011-11-14"
"MINERVA S.A.","2011-03-31","2011-04-29"
"MINERVA S.A.","2011-06-30","2011-08-14"
"MINERVA S.A.","2011-09-30","2011-11-03"
"CONSTRUTORA TENDA S.A.","2011-03-31","2011-05-10"
"CONSTRUTORA TENDA S.A.","2011-06-30","2011-08-12"
"CONSTRUTORA TENDA S.A.","2011-09-30","2011-11-14"
"KARSTEN S.A.","2011-03-31","2011-05-14"
"KARSTEN S.A.","2011-06-30","2011-08-15"
"KARSTEN S.A.","2011-09-30","2011-12-28"
"ELECTRO ACO ALTONA S.A.","2011-03-31","2011-05-13"
"ELECTRO ACO ALTONA S.A.","2011-06-30","2011-08-11"
"ELECTRO ACO ALTONA S.A.","2011-09-30","2011-11-03"
"TEXTIL RENAUXVIEW S.A.","2011-03-31","2011-05-16"
